01560,42.176,-71.6927,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01561,42.4435,-71.6861,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01568,42.1756,-71.6032,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01569,42.0744,-71.6329,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01570,42.0521,-71.8486,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01571,42.0489,-71.8932,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01580,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01581,42.2679,-71.6176,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01582,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01583,42.3584,-71.7838,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01585,42.2441,-72.1511,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01586,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01588,42.1153,-71.6644,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01590,42.1266,-71.7552,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01601,42.2653,-71.8794,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01602,42.2703,-71.8417,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01603,42.245,-71.838,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01604,42.2541,-71.7746,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01605,42.2894,-71.7888,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01606,42.311,-71.7958,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01607,42.2303,-71.7938,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01608,42.2624,-71.8003,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01609,42.2826,-71.8277,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01610,42.2492,-71.8108,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
